station,arrondissement,mm,dd,wday,AM,tot,temp,precip
des Érables / Bélanger,Rosemont - La Petite-Patrie,9,2,Saturday,6,39,20.3,0
Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,6,14,Wednesday,20,87,18.2,0
1ère avenue / Rosemont,Rosemont - La Petite-Patrie,7,14,Friday,11,76,21.3,0
Jeanne-d'Arc / Ontario,Mercier - Hochelaga-Maisonneuve,8,16,Wednesday,15,116,21.9,0.4
41e avenue / Rosemont,Rosemont - La Petite-Patrie,7,14,Friday,8,28,21.3,0
Darling / Sherbrooke,Rosemont - La Petite-Patrie,7,23,Sunday,3,66,22.3,0
St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,10,10,Tuesday,19,96,10.7,0.2
Gare Lachine (Sir George Simpson / 48e avenue),Lachine,7,26,Wednesday,0,7,24.9,0
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand),Mercier - Hochelaga-Maisonneuve,7,29,Saturday,1,38,16.2,0.2
Jeanne-Mance / Beaubien,Rosemont - La Petite-Patrie,10,15,Sunday,0,49,9.5,0
Dubois / Eadie,Le Sud-Ouest,7,14,Friday,10,50,21.3,0
Letourneux / Hochelaga,Mercier - Hochelaga-Maisonneuve,6,3,Saturday,2,47,15.9,0
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,6,30,Friday,6,52,22.8,0
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,5,31,Wednesday,47,249,22.8,0.8
35e avenue / Beaubien,Rosemont - La Petite-Patrie,9,25,Monday,7,28,16.3,0
Cartier / Dandurand,Rosemont - La Petite-Patrie,9,28,Thursday,20,69,15.1,0
Boyer / Bélanger,Rosemont - La Petite-Patrie,6,5,Monday,9,107,16.4,0
Hamilton / Jolicoeur,Le Sud-Ouest,7,18,Tuesday,10,47,22.8,10.2
Chambord / Beaubien,Rosemont - La Petite-Patrie,5,11,Thursday,21,107,17.9,0
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,10,26,Thursday,25,91,16.1,5.8
Parc Félix-Leclerc (François-Boivin / St-Zotique),Mercier - Hochelaga-Maisonneuve,5,16,Tuesday,0,8,9.2,4.5
Mozart / Waverly,Rosemont - La Petite-Patrie,6,23,Friday,1,39,23.7,0.2
5e avenue / Rosemont,Rosemont - La Petite-Patrie,7,23,Sunday,4,53,22.3,0
IUSMM (Georges-Villeneuve),Mercier - Hochelaga-Maisonneuve,5,23,Tuesday,2,19,13.7,0
André-Laurendeau / Rachel,Rosemont - La Petite-Patrie,7,18,Tuesday,14,182,22.8,10.2
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,8,14,Monday,4,37,20.4,0
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,9,7,Thursday,0,33,26.1,0
Louis-Hébert / St-Zotique,Rosemont - La Petite-Patrie,7,14,Friday,5,35,21.3,0
de la Roche / Bélanger,Rosemont - La Petite-Patrie,8,6,Sunday,9,103,21.5,0
Pierre-de-Coubertin / Langelier,Mercier - Hochelaga-Maisonneuve,5,30,Tuesday,5,16,19.3,0
Chambord / Beaubien,Rosemont - La Petite-Patrie,6,29,Thursday,5,89,20.3,4.7
St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,6,16,Friday,18,110,19.8,0
Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,5,9,Tuesday,13,89,10.2,0
IUSMM (Georges-Villeneuve),Mercier - Hochelaga-Maisonneuve,10,29,Sunday,1,5,4.7,1
Canning / Notre-Dame,Le Sud-Ouest,7,9,Sunday,3,72,24,3.8
Rosemont / Viau,Rosemont - La Petite-Patrie,6,11,Sunday,1,65,20.3,0
St-Charles / Thomas-Keefer,Le Sud-Ouest,6,6,Tuesday,12,86,16.7,0.3
Chabot / Beaubien,Rosemont - La Petite-Patrie,10,30,Monday,5,34,2.5,8
de Chambly / Rachel,Rosemont - La Petite-Patrie,9,25,Monday,12,68,16.3,0
41e avenue / Victoria,Lachine,9,9,Saturday,1,4,18.1,0
Pierre-de-Coubertin / Langelier,Mercier - Hochelaga-Maisonneuve,9,24,Sunday,3,21,18.5,0
Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,10,31,Tuesday,4,43,1.6,1.5
Du Quesne / de Marseille,Mercier - Hochelaga-Maisonneuve,5,8,Monday,4,37,12.4,0.4
Letourneux / Hochelaga,Mercier - Hochelaga-Maisonneuve,10,17,Tuesday,8,60,10.8,0.8
IUSMM (Georges-Villeneuve),Mercier - Hochelaga-Maisonneuve,10,24,Tuesday,3,14,8,4.6
Parc Félix-Leclerc (François-Boivin / St-Zotique),Mercier - Hochelaga-Maisonneuve,6,22,Thursday,4,17,22.9,0.3
41e avenue / Rosemont,Rosemont - La Petite-Patrie,10,16,Monday,3,16,11.1,0
Dixie / 54e avenue,Lachine,9,15,Friday,1,4,14.9,0
Ontario / Sicard,Mercier - Hochelaga-Maisonneuve,7,30,Sunday,3,35,17.8,6.6
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,9,25,Monday,11,74,16.3,0
Hamilton / Jolicoeur,Le Sud-Ouest,5,12,Friday,11,45,20.3,0
St-Germain / Hochelaga,Mercier - Hochelaga-Maisonneuve,6,11,Sunday,0,32,20.3,0
Molson / Beaubien,Rosemont - La Petite-Patrie,5,12,Friday,7,73,20.3,0
Ann / Wellington,Le Sud-Ouest,10,27,Friday,6,40,17.2,0.3
de Bordeaux / St-Zotique,Rosemont - La Petite-Patrie,5,13,Saturday,9,60,13.5,0
André-Laurendeau / Rachel,Rosemont - La Petite-Patrie,8,13,Sunday,4,130,21.8,0
Chambord / Beaubien,Rosemont - La Petite-Patrie,9,5,Tuesday,17,86,26.5,0
Shearer / Centre,Le Sud-Ouest,5,31,Wednesday,11,64,22.8,0.8
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,7,11,Tuesday,14,52,24.3,5.5
Jeanne-Mance / Beaubien,Rosemont - La Petite-Patrie,5,18,Thursday,10,63,7.6,0
Louis-Hébert / de Bellechasse,Rosemont - La Petite-Patrie,6,4,Sunday,2,75,14.1,0
41e avenue / Rosemont,Rosemont - La Petite-Patrie,8,15,Tuesday,7,30,21.2,0.5
29e avenue / St-Zotique,Rosemont - La Petite-Patrie,6,5,Monday,4,34,16.4,0
Ste-Catherine / Dezery,Mercier - Hochelaga-Maisonneuve,9,1,Friday,18,102,18.1,0
Parc Félix-Leclerc (François-Boivin / St-Zotique),Mercier - Hochelaga-Maisonneuve,10,26,Thursday,4,10,16.1,5.8
Souligny / Desmarteau,Mercier - Hochelaga-Maisonneuve,7,8,Saturday,0,6,25,0
Ropery / Augustin-Cantin,Le Sud-Ouest,9,26,Tuesday,11,46,13.9,0.2
Dubois / Eadie,Le Sud-Ouest,10,26,Thursday,7,34,16.1,5.8
Victoria / 18e avenue Lachine,Lachine,5,24,Wednesday,1,2,11.9,7.2
8e avenue / Notre-Dame Lachine,Lachine,7,9,Sunday,0,12,24,3.8
Parc LaSalle (10e avenue / Victoria),Lachine,8,25,Friday,0,6,18.3,1.1
Parc Lalancette (de Rouen / Valois),Mercier - Hochelaga-Maisonneuve,10,3,Tuesday,13,72,21.9,0
Lionel-Groulx / George-Vanier,Le Sud-Ouest,6,29,Thursday,1,26,20.3,4.7
Boyer / Bélanger,Rosemont - La Petite-Patrie,7,31,Monday,2,76,17.5,3.2
Graham / Wicksteed,Mont-Royal,10,27,Friday,2,21,17.2,0.3
8e avenue / Dandurand,Rosemont - La Petite-Patrie,6,10,Saturday,6,49,17.6,0
Chambord / Beaubien,Rosemont - La Petite-Patrie,10,20,Friday,14,109,15.5,0
Parc Stoney-Point (St-Joseph / 47e avenue),Lachine,10,31,Tuesday,0,2,1.6,1.5
Parc Grovehill (St-Antoine / Ivan-Franko),Lachine,10,22,Sunday,0,1,7.4,8.4
des Ormeaux / Notre-Dame,Mercier - Hochelaga-Maisonneuve,6,4,Sunday,1,14,14.1,0
Turgeon / Notre-Dame,Le Sud-Ouest,9,29,Friday,5,77,15.7,0
de Bordeaux / St-Zotique,Rosemont - La Petite-Patrie,7,23,Sunday,4,58,22.3,0
des Ormeaux / Notre-Dame,Mercier - Hochelaga-Maisonneuve,8,1,Tuesday,0,8,15.6,0
St-Joseph / 8e avenue Lachine,Lachine,5,25,Thursday,1,25,11.7,0
de Bordeaux / St-Zotique,Rosemont - La Petite-Patrie,10,18,Wednesday,19,52,12.1,0
5e avenue / Masson,Rosemont - La Petite-Patrie,10,24,Tuesday,26,112,8,4.6
de la Roche / Bélanger,Rosemont - La Petite-Patrie,7,10,Monday,18,58,20.9,10.2
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,6,13,Tuesday,1,25,19,13.8
de Gaspé / Dante,Rosemont - La Petite-Patrie,6,2,Friday,9,58,22.7,0
Cartier / Dandurand,Rosemont - La Petite-Patrie,6,29,Thursday,8,69,20.3,4.7
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,7,29,Saturday,3,14,16.2,0.2
des Ormeaux / Notre-Dame,Mercier - Hochelaga-Maisonneuve,5,2,Tuesday,0,1,9.9,3.8
Fortune / Wellington,Le Sud-Ouest,5,31,Wednesday,22,74,22.8,0.8
5e avenue / Masson,Rosemont - La Petite-Patrie,10,23,Monday,25,90,7.5,1.4
Cartier / Dandurand,Rosemont - La Petite-Patrie,8,15,Tuesday,23,92,21.2,0.5
Fabre / St-Zotique,Rosemont - La Petite-Patrie,5,26,Friday,16,88,13.9,0
Graham / Wicksteed,Mont-Royal,7,12,Wednesday,10,55,21.9,0
Ontario / Sicard,Mercier - Hochelaga-Maisonneuve,10,29,Sunday,5,38,4.7,1
Ryde / Charlevoix,Le Sud-Ouest,5,25,Thursday,14,58,11.7,0
Chambord / Beaubien,Rosemont - La Petite-Patrie,10,12,Thursday,22,82,10.7,0
Hamilton / Jolicoeur,Le Sud-Ouest,8,30,Wednesday,2,41,17.8,30.3
Jeanne-Mance / Beaubien,Rosemont - La Petite-Patrie,7,31,Monday,4,59,17.5,3.2
Letourneux / Hochelaga,Mercier - Hochelaga-Maisonneuve,9,23,Saturday,9,44,16,0.2
Boyer / Beaubien,Rosemont - La Petite-Patrie,8,2,Wednesday,29,175,17.5,0
Souligny / Desmarteau,Mercier - Hochelaga-Maisonneuve,10,5,Thursday,3,8,23.1,0
26e avenue / Beaubien,Rosemont - La Petite-Patrie,5,2,Tuesday,6,32,9.9,3.8
Drolet / Beaubien,Rosemont - La Petite-Patrie,7,23,Sunday,5,92,22.3,0
27e avenue / Rosemont,Rosemont - La Petite-Patrie,7,30,Sunday,1,43,17.8,6.6
Bourbonnière / du Mont-Royal,Rosemont - La Petite-Patrie,5,12,Friday,15,72,20.3,0
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,8,31,Thursday,22,68,15.2,0
des Ormeaux / Notre-Dame,Mercier - Hochelaga-Maisonneuve,7,19,Wednesday,0,12,21.8,0
Ryde / Charlevoix,Le Sud-Ouest,9,13,Wednesday,12,62,19.7,8.5
Victoria / 18e avenue Lachine,Lachine,9,5,Tuesday,3,14,26.5,0
Duchesneau / de Marseille,Mercier - Hochelaga-Maisonneuve,8,21,Monday,2,6,18.3,0
5e avenue / Rosemont,Rosemont - La Petite-Patrie,9,27,Wednesday,18,45,13.8,0
St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,5,2,Tuesday,14,73,9.9,3.8
des Ormeaux / de Grosbois,Mercier - Hochelaga-Maisonneuve,8,13,Sunday,1,15,21.8,0
Parc LaSalle (10e avenue / Victoria),Lachine,5,5,Friday,1,5,11.8,0
5e avenue / Masson,Rosemont - La Petite-Patrie,7,14,Friday,18,146,21.3,0
de Lanaudière / Bélanger,Rosemont - La Petite-Patrie,5,13,Saturday,11,92,13.5,0
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand),Mercier - Hochelaga-Maisonneuve,5,1,Monday,2,28,9.3,13.7
Dubois / Eadie,Le Sud-Ouest,9,17,Sunday,3,33,17.9,0
Fortune / Wellington,Le Sud-Ouest,10,22,Sunday,1,24,7.4,8.4
Graham / Kindersley,Mont-Royal,8,30,Wednesday,4,26,17.8,30.3
Duvernay / Charlevoix,Le Sud-Ouest,6,13,Tuesday,0,32,19,13.8
Métro Langelier (Langelier / Sherbrooke),Mercier - Hochelaga-Maisonneuve,6,13,Tuesday,1,28,19,13.8
Bourgeoys / Favard,Le Sud-Ouest,10,16,Monday,21,48,11.1,0
Parc du Pélican (2e avenue / St-Joseph),Rosemont - La Petite-Patrie,8,1,Tuesday,15,57,15.6,0
Duchesneau / de Marseille,Mercier - Hochelaga-Maisonneuve,8,1,Tuesday,2,14,15.6,0
Duchesneau / de Marseille,Mercier - Hochelaga-Maisonneuve,8,27,Sunday,2,12,18.5,0.2
Métro Assomption (Chauveau / de l'Assomption),Mercier - Hochelaga-Maisonneuve,8,28,Monday,3,30,18.9,0
des Érables / Bélanger,Rosemont - La Petite-Patrie,7,11,Tuesday,4,20,24.3,5.5
Du Quesne / de Marseille,Mercier - Hochelaga-Maisonneuve,8,9,Wednesday,7,28,22.1,0
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,7,31,Monday,27,227,17.5,3.2
5e avenue / Masson,Rosemont - La Petite-Patrie,9,27,Wednesday,27,112,13.8,0
Métro Assomption (Chauveau / de l'Assomption),Mercier - Hochelaga-Maisonneuve,10,18,Wednesday,4,42,12.1,0
Graham / Brookfield,Mont-Royal,10,12,Thursday,6,24,10.7,0
de Lanaudière / Bélanger,Rosemont - La Petite-Patrie,10,30,Monday,13,35,2.5,8
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,5,15,Monday,4,29,15.6,0
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,5,21,Sunday,4,42,16.2,0
Métro Monk (Allard / Beaulieu),Le Sud-Ouest,9,2,Saturday,6,58,20.3,0
d'Orléans / Hochelaga,Mercier - Hochelaga-Maisonneuve,10,28,Saturday,9,40,12.1,0.3
de Chambly / Rachel,Rosemont - La Petite-Patrie,9,28,Thursday,25,63,15.1,0
de Lanaudière / Bélanger,Rosemont - La Petite-Patrie,9,13,Wednesday,9,70,19.7,8.5
Fabre / St-Zotique,Rosemont - La Petite-Patrie,9,26,Tuesday,15,90,13.9,0.2
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,5,15,Monday,8,47,15.6,0
Métro Jolicoeur (de Sève / Drake),Le Sud-Ouest,10,4,Wednesday,5,54,23.7,0
de Chambly / Rachel,Rosemont - La Petite-Patrie,10,10,Tuesday,20,55,10.7,0.2
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,8,17,Thursday,9,37,23.3,0.2
Dubois / Eadie,Le Sud-Ouest,10,7,Saturday,1,7,13.4,63
de Léry / Sherbrooke,Mercier - Hochelaga-Maisonneuve,6,10,Saturday,3,43,17.6,0
Laird / Glencoe,Mont-Royal,9,4,Monday,1,19,24.6,0
Cartier / Bélanger,Rosemont - La Petite-Patrie,7,20,Thursday,9,74,21.8,0.3
Parc Grovehill (St-Antoine / Ivan-Franko),Lachine,6,15,Thursday,0,5,20.7,3.4
Bourget / St-Jacques,Le Sud-Ouest,8,24,Thursday,11,47,20.8,4.1
41e avenue / Rosemont,Rosemont - La Petite-Patrie,10,22,Sunday,1,3,7.4,8.4
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,8,3,Thursday,12,114,20.8,7.2
André-Laurendeau / Rachel,Rosemont - La Petite-Patrie,5,27,Saturday,8,150,19.5,0
St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,8,7,Monday,29,153,20.5,2.8
16e avenue / St-Joseph,Rosemont - La Petite-Patrie,5,17,Wednesday,22,46,5.2,0
Augustin-Cantin / Shearer,Le Sud-Ouest,8,22,Tuesday,22,92,18.7,0
Bourbonnière / du Mont-Royal,Rosemont - La Petite-Patrie,7,25,Tuesday,10,75,23.3,0
Lionel-Groulx / George-Vanier,Le Sud-Ouest,6,18,Sunday,1,25,16.5,0
Boyer / St-Zotique,Rosemont - La Petite-Patrie,6,8,Thursday,8,108,14.3,0.5
Ryde / Charlevoix,Le Sud-Ouest,6,27,Tuesday,15,60,23.3,7.2
10e avenue / Masson,Rosemont - La Petite-Patrie,7,26,Wednesday,29,146,24.9,0
Métro Préfontaine (Moreau / Hochelaga),Mercier - Hochelaga-Maisonneuve,5,19,Friday,13,99,15.2,0
Ann / Wellington,Le Sud-Ouest,5,22,Monday,0,60,10.8,0
10e avenue / Masson,Rosemont - La Petite-Patrie,8,28,Monday,29,183,18.9,0
Pierre-de-Coubertin / Langelier,Mercier - Hochelaga-Maisonneuve,5,2,Tuesday,2,10,9.9,3.8
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,8,19,Saturday,1,50,17.3,6.7
5e avenue / Rosemont,Rosemont - La Petite-Patrie,5,22,Monday,1,22,10.8,0
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand),Mercier - Hochelaga-Maisonneuve,8,10,Thursday,9,45,21.3,15.2
d'Orléans / Masson,Rosemont - La Petite-Patrie,5,8,Monday,11,59,12.4,0.4
Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,6,14,Wednesday,6,94,18.2,0
Graham / Brookfield,Mont-Royal,8,12,Saturday,2,27,19.9,20.3
de Bordeaux / St-Zotique,Rosemont - La Petite-Patrie,8,23,Wednesday,17,62,18.7,0.5
Egan / Laurendeau,Le Sud-Ouest,10,31,Tuesday,4,8,1.6,1.5
29e avenue / St-Zotique,Rosemont - La Petite-Patrie,7,27,Thursday,4,41,22.3,27.6
16e avenue / St-Joseph,Rosemont - La Petite-Patrie,9,18,Monday,18,71,17,0.5
de Chambly / Rachel,Rosemont - La Petite-Patrie,10,28,Saturday,5,64,12.1,0.3
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,9,20,Wednesday,25,83,15.7,0
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,9,6,Wednesday,58,295,26.9,0
de St-Vallier / St-Zotique,Rosemont - La Petite-Patrie,10,10,Tuesday,12,51,10.7,0.2
Centre ÉPIC (St-Zotique / 40e avenue),Rosemont - La Petite-Patrie,7,10,Monday,5,36,20.9,10.2
Richardson / Montmorency,Le Sud-Ouest,7,14,Friday,16,102,21.3,0
Parc Kirkland (des Érables / Boyer),Lachine,6,23,Friday,0,15,23.7,0.2
Centre ÉPIC (St-Zotique / 40e avenue),Rosemont - La Petite-Patrie,9,28,Thursday,11,44,15.1,0
Liébert / Hochelaga,Mercier - Hochelaga-Maisonneuve,9,19,Tuesday,2,11,15.6,0.9
Cartier / Dandurand,Rosemont - La Petite-Patrie,10,4,Wednesday,18,76,23.7,0
Fortune / Wellington,Le Sud-Ouest,9,11,Monday,16,57,18.3,0
Boyer / Rosemont,Rosemont - La Petite-Patrie,8,12,Saturday,15,146,19.9,20.3
Graham / Brookfield,Mont-Royal,8,29,Tuesday,9,31,21.5,0
1ère avenue / Rosemont,Rosemont - La Petite-Patrie,10,10,Tuesday,16,53,10.7,0.2
IUSMM (Georges-Villeneuve),Mercier - Hochelaga-Maisonneuve,5,19,Friday,4,11,15.2,0
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,10,3,Tuesday,12,68,21.9,0
Parc Stoney-Point (St-Joseph / 47e avenue),Lachine,10,18,Wednesday,0,3,12.1,0
Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,7,16,Sunday,6,166,24.2,12.7
Duchesneau / de Marseille,Mercier - Hochelaga-Maisonneuve,7,8,Saturday,1,15,25,0
Parc Summerlea (53e avenue / St-Joseph),Lachine,5,29,Monday,0,2,18,0
Molson / Beaubien,Rosemont - La Petite-Patrie,5,9,Tuesday,10,55,10.2,0
Monsabré / Boileau,Mercier - Hochelaga-Maisonneuve,10,6,Friday,4,17,20.3,31.3
Bourgeoys / Favard,Le Sud-Ouest,10,24,Tuesday,14,44,8,4.6
de Gaspé / Beaubien,Rosemont - La Petite-Patrie,8,10,Thursday,9,97,21.3,15.2
8e avenue / Dandurand,Rosemont - La Petite-Patrie,9,19,Tuesday,10,42,15.6,0.9
Parc Summerlea (53e avenue / St-Joseph),Lachine,9,26,Tuesday,0,4,13.9,0.2
Mozart / Waverly,Rosemont - La Petite-Patrie,9,14,Thursday,9,56,13.9,0
Parc Grovehill (St-Antoine / Ivan-Franko),Lachine,9,27,Wednesday,2,4,13.8,0
Parc LaSalle (10e avenue / Victoria),Lachine,7,19,Wednesday,1,11,21.8,0
Métro Assomption (Chauveau / de l'Assomption),Mercier - Hochelaga-Maisonneuve,10,14,Saturday,0,20,10.6,0
Dézéry / Ontario,Mercier - Hochelaga-Maisonneuve,7,29,Saturday,12,108,16.2,0.2
Egan / Laurendeau,Le Sud-Ouest,9,8,Friday,6,27,22.3,0
Shearer / Centre,Le Sud-Ouest,8,18,Friday,2,43,20.2,6.4
10e avenue / Masson,Rosemont - La Petite-Patrie,10,21,Saturday,0,74,11.6,14.6
de Gaspé / Dante,Rosemont - La Petite-Patrie,9,8,Friday,12,71,22.3,0
Parc du Pélican (2e avenue / St-Joseph),Rosemont - La Petite-Patrie,6,14,Wednesday,26,69,18.2,0
Jeanne-Mance / Beaubien,Rosemont - La Petite-Patrie,8,8,Tuesday,8,63,22,6.6
de Gaspé / Dante,Rosemont - La Petite-Patrie,10,9,Monday,2,15,10.5,0.4
Drolet / St-Zotique,Rosemont - La Petite-Patrie,10,5,Thursday,9,90,23.1,0
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,5,30,Tuesday,22,90,19.3,0
St-Charles / Thomas-Keefer,Le Sud-Ouest,9,1,Friday,17,175,18.1,0
Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,9,22,Friday,17,120,16.1,0.5
Graham / Wicksteed,Mont-Royal,6,9,Friday,4,36,15.3,0
de Gaspé / Dante,Rosemont - La Petite-Patrie,6,6,Tuesday,10,48,16.7,0.3
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,9,19,Tuesday,14,53,15.6,0.9
Graham / Kindersley,Mont-Royal,7,2,Sunday,2,27,23.3,2.1
de St-Vallier / St-Zotique,Rosemont - La Petite-Patrie,10,26,Thursday,7,62,16.1,5.8
Mozart / Waverly,Rosemont - La Petite-Patrie,5,28,Sunday,3,58,23.3,0
St-Joseph / 8e avenue Lachine,Lachine,5,20,Saturday,2,27,18.4,3.2
Richardson / Montmorency,Le Sud-Ouest,9,18,Monday,12,75,17,0.5
Dézéry / Ontario,Mercier - Hochelaga-Maisonneuve,6,12,Monday,23,86,24.2,0.3
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,5,15,Monday,34,178,15.6,0
Bel Air / St-Antoine,Le Sud-Ouest,6,16,Friday,4,23,19.8,0
Parc Père-Marquette (Chambord / Rosemont),Rosemont - La Petite-Patrie,10,1,Sunday,13,190,18.8,0
27e avenue / Rosemont,Rosemont - La Petite-Patrie,6,17,Saturday,3,27,15.3,5.3
Métro Monk (Allard / Beaulieu),Le Sud-Ouest,7,3,Monday,10,74,24.1,0
Fortune / Wellington,Le Sud-Ouest,9,1,Friday,21,69,18.1,0
Parc LaSalle (10e avenue / Victoria),Lachine,5,14,Sunday,0,23,10.9,0
Dézéry / Ontario,Mercier - Hochelaga-Maisonneuve,6,9,Friday,20,102,15.3,0
de Chambly / Rachel,Rosemont - La Petite-Patrie,9,13,Wednesday,14,62,19.7,8.5
Parc Lalancette (de Rouen / Valois),Mercier - Hochelaga-Maisonneuve,6,30,Friday,7,95,22.8,0
Boyer / Bélanger,Rosemont - La Petite-Patrie,5,14,Sunday,4,77,10.9,0
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,7,22,Saturday,10,274,21.2,0
Parc Summerlea (53e avenue / St-Joseph),Lachine,6,25,Sunday,0,12,22.2,0
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,9,16,Saturday,4,38,17.6,0
Duvernay / Charlevoix,Le Sud-Ouest,7,22,Saturday,5,102,21.2,0
André-Laurendeau / Rachel,Rosemont - La Petite-Patrie,8,14,Monday,15,160,20.4,0
19e avenue / St-Zotique,Rosemont - La Petite-Patrie,8,1,Tuesday,7,62,15.6,0
André-Laurendeau / Rachel,Rosemont - La Petite-Patrie,8,9,Wednesday,21,126,22.1,0
Ste-Claire / Pierre-Tétreault,Mercier - Hochelaga-Maisonneuve,6,9,Friday,2,12,15.3,0
