station,arrondissement,mm,dd,wday,AM,tot,temp,precip
d'Orléans / Masson,Rosemont - La Petite-Patrie,6,29,Thursday,11,61,20.3,4.7
Graham / Brookfield,Mont-Royal,8,26,Saturday,6,40,19.7,0.8
Parc Kirkland (des Érables / Boyer),Lachine,6,30,Friday,3,16,22.8,0
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,9,5,Tuesday,11,55,26.5,0
Boyer / Rosemont,Rosemont - La Petite-Patrie,10,18,Wednesday,18,136,12.1,0
Centre ÉPIC (St-Zotique / 40e avenue),Rosemont - La Petite-Patrie,5,10,Wednesday,8,50,15,0
1ère avenue / Rosemont,Rosemont - La Petite-Patrie,6,6,Tuesday,15,62,16.7,0.3
Métro Assomption (Chauveau / de l'Assomption),Mercier - Hochelaga-Maisonneuve,9,29,Friday,5,31,15.7,0
Brittany / Ainsley,Mont-Royal,7,27,Thursday,0,25,22.3,27.6
IUSMM (Georges-Villeneuve),Mercier - Hochelaga-Maisonneuve,7,15,Saturday,0,6,22.8,0.3
St-Antoine / 19e avenue,Lachine,5,2,Tuesday,1,3,9.9,3.8
Parc Summerlea (53e avenue / St-Joseph),Lachine,5,30,Tuesday,0,4,19.3,0
41e avenue / Rosemont,Rosemont - La Petite-Patrie,10,30,Monday,1,6,2.5,8
35e avenue / Beaubien,Rosemont - La Petite-Patrie,5,8,Monday,7,28,12.4,0.4
Jeanne-Mance / Beaubien,Rosemont - La Petite-Patrie,7,10,Monday,6,33,20.9,10.2
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,8,24,Thursday,26,78,20.8,4.1
Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),Rosemont - La Petite-Patrie,5,8,Monday,16,57,12.4,0.4
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,10,9,Monday,0,11,10.5,0.4
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,9,30,Saturday,4,44,17.3,0.5
Letourneux / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,7,26,Wednesday,16,64,24.9,0
Fortune / Wellington,Le Sud-Ouest,6,13,Tuesday,3,38,19,13.8
Ryde / Charlevoix,Le Sud-Ouest,10,4,Wednesday,22,74,23.7,0
10e avenue / Masson,Rosemont - La Petite-Patrie,6,7,Wednesday,15,129,13.7,3.7
Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),Rosemont - La Petite-Patrie,6,14,Wednesday,14,79,18.2,0
des Érables / Bélanger,Rosemont - La Petite-Patrie,6,18,Sunday,0,29,16.5,0
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,10,20,Friday,4,16,15.5,0
29e avenue / St-Zotique,Rosemont - La Petite-Patrie,9,27,Wednesday,13,33,13.8,0
Fabre / St-Zotique,Rosemont - La Petite-Patrie,9,10,Sunday,4,83,17,11.2
Métro Langelier (Langelier / Sherbrooke),Mercier - Hochelaga-Maisonneuve,8,24,Thursday,3,45,20.8,4.1
Graham / Kindersley,Mont-Royal,5,14,Sunday,1,39,10.9,0
Cartier / Rosemont,Rosemont - La Petite-Patrie,8,10,Thursday,5,59,21.3,15.2
Rose-de-Lima / Workman,Le Sud-Ouest,8,23,Wednesday,7,43,18.7,0.5
Rose-de-Lima / Workman,Le Sud-Ouest,6,28,Wednesday,6,40,19.9,8.1
Liébert / Hochelaga,Mercier - Hochelaga-Maisonneuve,8,5,Saturday,0,28,20,0
Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),Rosemont - La Petite-Patrie,5,18,Thursday,13,61,7.6,0
Shearer / Centre,Le Sud-Ouest,5,10,Wednesday,7,46,15,0
Molson / Beaubien,Rosemont - La Petite-Patrie,7,27,Thursday,3,62,22.3,27.6
Henri-Julien / de Bellechasse,Rosemont - La Petite-Patrie,9,19,Tuesday,10,31,15.6,0.9
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,7,9,Sunday,3,33,24,3.8
35e avenue / Beaubien,Rosemont - La Petite-Patrie,6,8,Thursday,0,20,14.3,0.5
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,9,7,Thursday,6,45,26.1,0
Cartier / Dandurand,Rosemont - La Petite-Patrie,9,22,Friday,13,78,16.1,0.5
Cartier / Bélanger,Rosemont - La Petite-Patrie,6,13,Tuesday,1,36,19,13.8
35e avenue / Beaubien,Rosemont - La Petite-Patrie,5,30,Tuesday,13,42,19.3,0
Letourneux / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,6,7,Wednesday,13,45,13.7,3.7
des Ormeaux / de Grosbois,Mercier - Hochelaga-Maisonneuve,7,10,Monday,2,8,20.9,10.2
Valois / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,7,13,Thursday,12,58,23,36.1
Liébert / Hochelaga,Mercier - Hochelaga-Maisonneuve,8,8,Tuesday,1,29,22,6.6
Gare Lachine (Sir George Simpson / 48e avenue),Lachine,9,6,Wednesday,0,2,26.9,0
Cartier / Rosemont,Rosemont - La Petite-Patrie,10,2,Monday,11,52,16.3,0.6
des Ormeaux / Notre-Dame,Mercier - Hochelaga-Maisonneuve,9,7,Thursday,0,10,26.1,0
des Ormeaux / de Grosbois,Mercier - Hochelaga-Maisonneuve,5,20,Saturday,0,7,18.4,3.2
Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,8,10,Thursday,20,96,21.3,15.2
Parc LaSalle (10e avenue / Victoria),Lachine,7,16,Sunday,0,1,24.2,12.7
Duchesneau / de Marseille,Mercier - Hochelaga-Maisonneuve,9,28,Thursday,4,18,15.1,0
Cartier / Bélanger,Rosemont - La Petite-Patrie,10,5,Thursday,17,66,23.1,0
Parc St-Louis (St-Joseph / 34e avenue),Lachine,8,4,Friday,0,6,21.4,3.1
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,6,29,Thursday,15,191,20.3,4.7
Turgeon / Notre-Dame,Le Sud-Ouest,6,8,Thursday,9,79,14.3,0.5
Mozart / Waverly,Rosemont - La Petite-Patrie,10,18,Wednesday,11,41,12.1,0
Richardson / Montmorency,Le Sud-Ouest,10,19,Thursday,14,98,13.8,0.4
Souligny / Desmarteau,Mercier - Hochelaga-Maisonneuve,10,8,Sunday,0,3,11.4,5.1
André-Laurendeau / Rachel,Rosemont - La Petite-Patrie,9,2,Saturday,6,161,20.3,0
Graham / Kindersley,Mont-Royal,7,11,Tuesday,2,21,24.3,5.5
de St-Vallier / St-Zotique,Rosemont - La Petite-Patrie,10,12,Thursday,21,73,10.7,0
de Chambly / Rachel,Rosemont - La Petite-Patrie,8,29,Tuesday,21,92,21.5,0
Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),Rosemont - La Petite-Patrie,7,28,Friday,10,67,23.9,23.4
St-Germain / Hochelaga,Mercier - Hochelaga-Maisonneuve,7,28,Friday,3,32,23.9,23.4
Monsabré / Boileau,Mercier - Hochelaga-Maisonneuve,5,1,Monday,0,8,9.3,13.7
Graham / Wicksteed,Mont-Royal,9,3,Sunday,3,36,23.4,0
St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,5,3,Wednesday,8,51,8.1,1.2
Métro Monk (Allard / Beaulieu),Le Sud-Ouest,10,9,Monday,0,33,10.5,0.4
41e avenue / Rosemont,Rosemont - La Petite-Patrie,10,27,Friday,2,18,17.2,0.3
26e avenue / Beaubien,Rosemont - La Petite-Patrie,7,7,Friday,9,59,24.3,0.5
Richardson / Montmorency,Le Sud-Ouest,8,22,Tuesday,14,111,18.7,0
Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),Rosemont - La Petite-Patrie,7,16,Sunday,1,58,24.2,12.7
d'Orléans / Masson,Rosemont - La Petite-Patrie,8,3,Thursday,11,73,20.8,7.2
10e avenue / Masson,Rosemont - La Petite-Patrie,7,7,Friday,21,222,24.3,0.5
Métro Jolicoeur (de Sève / Drake),Le Sud-Ouest,10,28,Saturday,5,48,12.1,0.3
de Gaspé / Dante,Rosemont - La Petite-Patrie,7,29,Saturday,8,52,16.2,0.2
Louis-Hébert / St-Zotique,Rosemont - La Petite-Patrie,7,19,Wednesday,6,38,21.8,0
Rose-de-Lima / Workman,Le Sud-Ouest,8,19,Saturday,2,38,17.3,6.7
de Bordeaux / St-Zotique,Rosemont - La Petite-Patrie,9,29,Friday,13,58,15.7,0
Parc Lalancette (de Rouen / Valois),Mercier - Hochelaga-Maisonneuve,9,18,Monday,10,60,17,0.5
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,6,10,Saturday,4,26,17.6,0
Boyer / Bélanger,Rosemont - La Petite-Patrie,7,12,Wednesday,10,127,21.9,0
de Bellechasse / de St-Vallier,Rosemont - La Petite-Patrie,5,8,Monday,10,71,12.4,0.4
Rosemont / Viau,Rosemont - La Petite-Patrie,5,6,Saturday,2,99,15.6,0
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,8,31,Thursday,39,272,15.2,0
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,10,18,Wednesday,22,62,12.1,0
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,10,5,Thursday,17,65,23.1,0
Parc Honoré-Mercier (Notre-Dame / Liébert),Mercier - Hochelaga-Maisonneuve,7,22,Saturday,0,30,21.2,0
Parc St-Louis (St-Joseph / 34e avenue),Lachine,9,19,Tuesday,1,5,15.6,0.9
3e avenue / Holt,Rosemont - La Petite-Patrie,8,31,Thursday,18,53,15.2,0
10e avenue / Masson,Rosemont - La Petite-Patrie,9,10,Sunday,6,155,17,11.2
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,9,1,Friday,7,41,18.1,0
Ste-Claire / Pierre-Tétreault,Mercier - Hochelaga-Maisonneuve,5,20,Saturday,0,4,18.4,3.2
de Gaspé / Beaubien,Rosemont - La Petite-Patrie,5,30,Tuesday,11,109,19.3,0
Bourbonnière / du Mont-Royal,Rosemont - La Petite-Patrie,8,4,Friday,9,75,21.4,3.1
Graham / Brookfield,Mont-Royal,6,21,Wednesday,7,36,20.8,0.2
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,8,17,Thursday,47,315,23.3,0.2
Cartier / Dandurand,Rosemont - La Petite-Patrie,9,20,Wednesday,21,79,15.7,0
St-Joseph / 8e avenue Lachine,Lachine,5,5,Friday,0,35,11.8,0
St-Antoine / 19e avenue,Lachine,7,23,Sunday,0,3,22.3,0
Henri-Julien / de Bellechasse,Rosemont - La Petite-Patrie,9,4,Monday,4,39,24.6,0
Jeanne-d'Arc / Ontario,Mercier - Hochelaga-Maisonneuve,8,26,Saturday,8,137,19.7,0.8
5e avenue / Masson,Rosemont - La Petite-Patrie,8,1,Tuesday,22,136,15.6,0
19e avenue / St-Zotique,Rosemont - La Petite-Patrie,5,25,Thursday,9,53,11.7,0
Chabot / de Bellechasse,Rosemont - La Petite-Patrie,5,23,Tuesday,18,62,13.7,0
de Gaspé / Beaubien,Rosemont - La Petite-Patrie,8,14,Monday,9,81,20.4,0
de Chambly / Rachel,Rosemont - La Petite-Patrie,9,9,Saturday,9,89,18.1,0
Boyer / Bélanger,Rosemont - La Petite-Patrie,6,24,Saturday,2,79,22.8,22.5
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,8,19,Saturday,8,28,17.3,6.7
Dubois / Eadie,Le Sud-Ouest,10,20,Friday,10,38,15.5,0
Parc Père-Marquette (Chambord / Rosemont),Rosemont - La Petite-Patrie,5,15,Monday,17,93,15.6,0
Ontario / Sicard,Mercier - Hochelaga-Maisonneuve,7,8,Saturday,11,63,25,0
Rosemont / Viau,Rosemont - La Petite-Patrie,6,20,Tuesday,5,46,18.8,0
d'Orléans / Hochelaga,Mercier - Hochelaga-Maisonneuve,7,7,Friday,11,48,24.3,0.5
Fortune / Wellington,Le Sud-Ouest,8,3,Thursday,4,47,20.8,7.2
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand),Mercier - Hochelaga-Maisonneuve,10,11,Wednesday,4,42,10.3,1.8
Parc Honoré-Mercier (Notre-Dame / Liébert),Mercier - Hochelaga-Maisonneuve,9,23,Saturday,1,24,16,0.2
de Léry / Sherbrooke,Mercier - Hochelaga-Maisonneuve,7,17,Monday,3,47,25.2,0
Métro Jolicoeur (de Sève / Drake),Le Sud-Ouest,6,8,Thursday,8,50,14.3,0.5
5e avenue / Rosemont,Rosemont - La Petite-Patrie,5,24,Wednesday,11,36,11.9,7.2
Fortune / Wellington,Le Sud-Ouest,7,28,Friday,11,43,23.9,23.4
de Gaspé / Dante,Rosemont - La Petite-Patrie,7,7,Friday,8,45,24.3,0.5
St-Germain / Hochelaga,Mercier - Hochelaga-Maisonneuve,8,25,Friday,2,30,18.3,1.1
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,6,10,Saturday,8,73,17.6,0
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,6,29,Thursday,4,60,20.3,4.7
Richardson / Montmorency,Le Sud-Ouest,10,25,Wednesday,9,85,14.9,3.3
Graham / Kindersley,Mont-Royal,7,24,Monday,5,28,24,0
Valois / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,5,18,Thursday,15,65,7.6,0
Peel / Ottawa,Le Sud-Ouest,7,1,Saturday,18,182,22.6,27.2
Fabre / St-Zotique,Rosemont - La Petite-Patrie,6,23,Friday,15,112,23.7,0.2
8e avenue / Notre-Dame Lachine,Lachine,10,29,Sunday,0,5,4.7,1
Brittany / Ainsley,Mont-Royal,7,30,Sunday,1,22,17.8,6.6
Boyer / Rosemont,Rosemont - La Petite-Patrie,9,15,Friday,27,178,14.9,0
Ontario / Sicard,Mercier - Hochelaga-Maisonneuve,8,28,Monday,8,69,18.9,0
Parc Honoré-Mercier (Notre-Dame / Liébert),Mercier - Hochelaga-Maisonneuve,9,24,Sunday,0,32,18.5,0
Mozart / Waverly,Rosemont - La Petite-Patrie,5,5,Friday,9,52,11.8,0
5e avenue / Masson,Rosemont - La Petite-Patrie,7,3,Monday,21,132,24.1,0
Bourgeoys / Favard,Le Sud-Ouest,8,1,Tuesday,14,68,15.6,0
Drolet / Beaubien,Rosemont - La Petite-Patrie,9,8,Friday,6,119,22.3,0
Parc Félix-Leclerc (François-Boivin / St-Zotique),Mercier - Hochelaga-Maisonneuve,10,14,Saturday,1,13,10.6,0
Laird / Glencoe,Mont-Royal,8,13,Sunday,1,16,21.8,0
Bélanger / St-Denis,Rosemont - La Petite-Patrie,10,28,Saturday,5,159,12.1,0.3
26e avenue / Beaubien,Rosemont - La Petite-Patrie,7,21,Friday,5,51,21.9,26
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,7,1,Saturday,16,184,22.6,27.2
St-Joseph / 8e avenue Lachine,Lachine,9,26,Tuesday,1,15,13.9,0.2
Rose-de-Lima / Workman,Le Sud-Ouest,5,6,Saturday,1,58,15.6,0
Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,9,12,Tuesday,5,74,18.3,0
Fabre / St-Zotique,Rosemont - La Petite-Patrie,10,27,Friday,9,60,17.2,0.3
St-Charles / Thomas-Keefer,Le Sud-Ouest,9,25,Monday,9,87,16.3,0
Parc Stoney-Point (St-Joseph / 47e avenue),Lachine,6,30,Friday,1,11,22.8,0
Parc Père-Marquette (Chambord / Rosemont),Rosemont - La Petite-Patrie,7,10,Monday,23,77,20.9,10.2
Jeanne-d'Arc / Ontario,Mercier - Hochelaga-Maisonneuve,6,29,Thursday,9,117,20.3,4.7
Chabot / de Bellechasse,Rosemont - La Petite-Patrie,7,8,Saturday,9,91,25,0
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,10,13,Friday,14,48,11.5,0
des Érables / Bélanger,Rosemont - La Petite-Patrie,8,20,Sunday,5,39,20.9,0
27e avenue / Rosemont,Rosemont - La Petite-Patrie,8,10,Thursday,5,20,21.3,15.2
Boyer / Rosemont,Rosemont - La Petite-Patrie,7,30,Sunday,9,156,17.8,6.6
Graham / Brookfield,Mont-Royal,7,31,Monday,1,22,17.5,3.2
Peel / Ottawa,Le Sud-Ouest,8,1,Tuesday,49,274,15.6,0
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,5,5,Friday,20,60,11.8,0
Graham / Kindersley,Mont-Royal,8,29,Tuesday,6,36,21.5,0
5e avenue / Rosemont,Rosemont - La Petite-Patrie,8,15,Tuesday,9,41,21.2,0.5
Ryde / Charlevoix,Le Sud-Ouest,5,28,Sunday,10,58,23.3,0
Drolet / St-Zotique,Rosemont - La Petite-Patrie,7,22,Saturday,4,77,21.2,0
Parc Honoré-Mercier (Notre-Dame / Liébert),Mercier - Hochelaga-Maisonneuve,10,9,Monday,1,5,10.5,0.4
de Bellechasse / de St-Vallier,Rosemont - La Petite-Patrie,8,23,Wednesday,18,139,18.7,0.5
Hamilton / Jolicoeur,Le Sud-Ouest,9,1,Friday,9,44,18.1,0
de Gaspé / Dante,Rosemont - La Petite-Patrie,7,9,Sunday,2,72,24,3.8
Louis-Hémon / Rosemont,Rosemont - La Petite-Patrie,9,14,Thursday,19,78,13.9,0
Drolet / St-Zotique,Rosemont - La Petite-Patrie,7,4,Tuesday,16,72,24.1,3.8
de Gaspé / Beaubien,Rosemont - La Petite-Patrie,5,11,Thursday,11,109,17.9,0
Du Quesne / de Marseille,Mercier - Hochelaga-Maisonneuve,9,9,Saturday,3,25,18.1,0
Métro Assomption (Chauveau / de l'Assomption),Mercier - Hochelaga-Maisonneuve,9,7,Thursday,4,43,26.1,0
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,5,8,Monday,8,22,12.4,0.4
Laird / Glencoe,Mont-Royal,6,27,Tuesday,2,22,23.3,7.2
St-Antoine / 19e avenue,Lachine,8,22,Tuesday,0,5,18.7,0
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand),Mercier - Hochelaga-Maisonneuve,8,18,Friday,2,48,20.2,6.4
41e avenue / Rosemont,Rosemont - La Petite-Patrie,8,18,Friday,1,21,20.2,6.4
Boyer / Rosemont,Rosemont - La Petite-Patrie,10,7,Saturday,7,58,13.4,63
Parc Père-Marquette (Chambord / Rosemont),Rosemont - La Petite-Patrie,10,29,Sunday,2,87,4.7,1
Louis-Hébert / de Bellechasse,Rosemont - La Petite-Patrie,5,13,Saturday,8,45,13.5,0
Parc du Pélican (2e avenue / St-Joseph),Rosemont - La Petite-Patrie,8,15,Tuesday,13,80,21.2,0.5
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,6,19,Monday,6,18,17.5,0
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,5,27,Saturday,6,43,19.5,0
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand),Mercier - Hochelaga-Maisonneuve,6,30,Friday,5,32,22.8,0
Chabot / de Bellechasse,Rosemont - La Petite-Patrie,6,12,Monday,15,80,24.2,0.3
Graham / Kindersley,Mont-Royal,7,21,Friday,4,23,21.9,26
Chabot / de Bellechasse,Rosemont - La Petite-Patrie,8,20,Sunday,4,77,20.9,0
Duchesneau / de Marseille,Mercier - Hochelaga-Maisonneuve,6,5,Monday,2,15,16.4,0
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,5,7,Sunday,2,36,16.5,0
Drolet / Beaubien,Rosemont - La Petite-Patrie,6,21,Wednesday,16,100,20.8,0.2
29e avenue / St-Zotique,Rosemont - La Petite-Patrie,10,3,Tuesday,9,38,21.9,0
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,5,26,Friday,1,28,13.9,0
Parc St-Louis (St-Joseph / 34e avenue),Lachine,8,29,Tuesday,0,7,21.5,0
Bélanger / St-Denis,Rosemont - La Petite-Patrie,10,7,Saturday,2,37,13.4,63
16e avenue / St-Joseph,Rosemont - La Petite-Patrie,5,9,Tuesday,27,71,10.2,0
Chambord / Beaubien,Rosemont - La Petite-Patrie,7,3,Monday,7,73,24.1,0
St-Germain / Hochelaga,Mercier - Hochelaga-Maisonneuve,8,20,Sunday,1,26,20.9,0
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,9,12,Tuesday,3,13,18.3,0
Graham / Wicksteed,Mont-Royal,5,2,Tuesday,3,18,9.9,3.8
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,5,18,Thursday,10,36,7.6,0
Peel / Ottawa,Le Sud-Ouest,8,4,Friday,21,227,21.4,3.1
Graham / Wicksteed,Mont-Royal,8,1,Tuesday,5,31,15.6,0
Duvernay / Charlevoix,Le Sud-Ouest,9,7,Thursday,23,106,26.1,0
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,9,26,Tuesday,26,149,13.9,0.2
Graham / Kindersley,Mont-Royal,10,18,Wednesday,9,22,12.1,0
Ann / Wellington,Le Sud-Ouest,5,20,Saturday,5,88,18.4,3.2
Parc Grovehill (St-Antoine / Ivan-Franko),Lachine,8,31,Thursday,1,5,15.2,0
Duvernay / Charlevoix,Le Sud-Ouest,9,27,Wednesday,19,89,13.8,0
27e avenue / Rosemont,Rosemont - La Petite-Patrie,10,14,Saturday,3,37,10.6,0
Pierre-de-Coubertin / Langelier,Mercier - Hochelaga-Maisonneuve,10,6,Friday,4,19,20.3,31.3
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,5,15,Monday,11,40,15.6,0
Bourget / St-Jacques,Le Sud-Ouest,9,9,Saturday,9,38,18.1,0
Chambord / Beaubien,Rosemont - La Petite-Patrie,6,12,Monday,27,118,24.2,0.3
Graham / Wicksteed,Mont-Royal,9,19,Tuesday,3,25,15.6,0.9
1ère avenue / Rosemont,Rosemont - La Petite-Patrie,5,10,Wednesday,13,75,15,0
St-Joseph / 8e avenue Lachine,Lachine,8,9,Wednesday,0,21,22.1,0
de Gaspé / Beaubien,Rosemont - La Petite-Patrie,8,7,Monday,17,113,20.5,2.8
Louis-Hémon / Rosemont,Rosemont - La Petite-Patrie,10,21,Saturday,4,42,11.6,14.6
Parc Père-Marquette (Chambord / Rosemont),Rosemont - La Petite-Patrie,10,12,Thursday,36,116,10.7,0
Centre ÉPIC (St-Zotique / 40e avenue),Rosemont - La Petite-Patrie,10,22,Sunday,1,6,7.4,8.4
Cartier / Dandurand,Rosemont - La Petite-Patrie,8,1,Tuesday,13,61,15.6,0
Ontario / Sicard,Mercier - Hochelaga-Maisonneuve,8,27,Sunday,5,62,18.5,0.2
André-Laurendeau / Rachel,Rosemont - La Petite-Patrie,8,31,Thursday,27,153,15.2,0
Jeanne-Mance / Beaubien,Rosemont - La Petite-Patrie,5,13,Saturday,3,51,13.5,0
St-Antoine / 19e avenue,Lachine,10,27,Friday,0,3,17.2,0.3
St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,5,16,Tuesday,12,84,9.2,4.5
Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,8,9,Wednesday,13,114,22.1,0
Augustin-Cantin / Shearer,Le Sud-Ouest,10,12,Thursday,24,93,10.7,0
Parc Père-Marquette (Chambord / Rosemont),Rosemont - La Petite-Patrie,6,11,Sunday,5,154,20.3,0
Chabot / de Bellechasse,Rosemont - La Petite-Patrie,10,1,Sunday,12,94,18.8,0
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,8,28,Monday,37,274,18.9,0
Souligny / Desmarteau,Mercier - Hochelaga-Maisonneuve,6,12,Monday,3,6,24.2,0.3
Boyer / St-Zotique,Rosemont - La Petite-Patrie,8,13,Sunday,5,114,21.8,0
Bel Air / St-Antoine,Le Sud-Ouest,5,15,Monday,1,12,15.6,0
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,9,15,Friday,21,105,14.9,0
16e avenue / St-Joseph,Rosemont - La Petite-Patrie,9,26,Tuesday,18,63,13.9,0.2
Cartier / Dandurand,Rosemont - La Petite-Patrie,10,28,Saturday,5,71,12.1,0.3
Rosemont / Viau,Rosemont - La Petite-Patrie,5,10,Wednesday,8,43,15,0
Letourneux / Hochelaga,Mercier - Hochelaga-Maisonneuve,6,27,Tuesday,13,41,23.3,7.2
41e avenue / Rosemont,Rosemont - La Petite-Patrie,8,28,Monday,2,22,18.9,0
5e avenue / Masson,Rosemont - La Petite-Patrie,10,13,Friday,32,110,11.5,0
Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,6,28,Wednesday,14,57,19.9,8.1
41e avenue / Victoria,Lachine,8,5,Saturday,0,1,20,0
