station,arrondissement,mm,dd,wday,AM,tot,temp,precip
des Ormeaux / de Grosbois,Mercier - Hochelaga-Maisonneuve,7,2,Sunday,1,10,23.3,2.1
8e avenue / Dandurand,Rosemont - La Petite-Patrie,6,14,Wednesday,17,44,18.2,0
Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,10,10,Tuesday,9,55,10.7,0.2
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,10,10,Tuesday,15,39,10.7,0.2
Letourneux / Hochelaga,Mercier - Hochelaga-Maisonneuve,8,7,Monday,6,28,20.5,2.8
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,8,19,Saturday,2,8,17.3,6.7
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,5,30,Tuesday,15,52,19.3,0
Rose-de-Lima / Workman,Le Sud-Ouest,9,4,Monday,4,47,24.6,0
St-Germain / Hochelaga,Mercier - Hochelaga-Maisonneuve,8,24,Thursday,13,40,20.8,4.1
Darling / Sherbrooke,Rosemont - La Petite-Patrie,9,18,Monday,12,57,17,0.5
Chambord / Beaubien,Rosemont - La Petite-Patrie,9,19,Tuesday,12,65,15.6,0.9
Lionel-Groulx / George-Vanier,Le Sud-Ouest,10,27,Friday,11,24,17.2,0.3
Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,7,4,Tuesday,15,88,24.1,3.8
Cartier / Dandurand,Rosemont - La Petite-Patrie,7,16,Sunday,6,72,24.2,12.7
Bel Air / St-Antoine,Le Sud-Ouest,6,2,Friday,4,22,22.7,0
Louis-Hébert / de Bellechasse,Rosemont - La Petite-Patrie,7,29,Saturday,6,67,16.2,0.2
Métro Préfontaine (Moreau / Hochelaga),Mercier - Hochelaga-Maisonneuve,5,15,Monday,10,81,15.6,0
29e avenue / St-Zotique,Rosemont - La Petite-Patrie,6,22,Thursday,8,49,22.9,0.3
Parc Honoré-Mercier (Notre-Dame / Liébert),Mercier - Hochelaga-Maisonneuve,9,28,Thursday,3,12,15.1,0
de Gaspé / Beaubien,Rosemont - La Petite-Patrie,10,6,Friday,6,121,20.3,31.3
3e avenue / Holt,Rosemont - La Petite-Patrie,5,17,Wednesday,15,56,5.2,0
St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,10,29,Sunday,9,103,4.7,1
Letourneux / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,5,2,Tuesday,5,31,9.9,3.8
de St-Vallier / St-Zotique,Rosemont - La Petite-Patrie,8,26,Saturday,6,79,19.7,0.8
des Ormeaux / Notre-Dame,Mercier - Hochelaga-Maisonneuve,5,12,Friday,1,12,20.3,0
Métro Jolicoeur (de Sève / Drake),Le Sud-Ouest,7,4,Tuesday,13,62,24.1,3.8
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,9,25,Monday,1,24,16.3,0
Pierre-de-Coubertin / Langelier,Mercier - Hochelaga-Maisonneuve,8,15,Tuesday,3,17,21.2,0.5
de Bordeaux / St-Zotique,Rosemont - La Petite-Patrie,10,3,Tuesday,16,65,21.9,0
41e avenue / Victoria,Lachine,8,6,Sunday,0,3,21.5,0
Darling / Sherbrooke,Rosemont - La Petite-Patrie,5,19,Friday,6,41,15.2,0
St-Joseph / 8e avenue Lachine,Lachine,8,29,Tuesday,1,10,21.5,0
Ropery / Augustin-Cantin,Le Sud-Ouest,5,7,Sunday,7,120,16.5,0
Augustin-Cantin / Shearer,Le Sud-Ouest,10,6,Friday,8,49,20.3,31.3
Duvernay / Charlevoix,Le Sud-Ouest,5,15,Monday,7,50,15.6,0
35e avenue / Beaubien,Rosemont - La Petite-Patrie,7,8,Saturday,3,29,25,0
41e avenue / Victoria,Lachine,8,3,Thursday,1,3,20.8,7.2
St-Germain / Hochelaga,Mercier - Hochelaga-Maisonneuve,9,8,Friday,5,38,22.3,0
19e avenue / St-Zotique,Rosemont - La Petite-Patrie,7,16,Sunday,1,56,24.2,12.7
de Chambly / Rachel,Rosemont - La Petite-Patrie,9,4,Monday,11,76,24.6,0
Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,7,15,Saturday,6,71,22.8,0.3
Cartier / Rosemont,Rosemont - La Petite-Patrie,5,22,Monday,5,47,10.8,0
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,9,7,Thursday,11,45,26.1,0
Brittany / Ainsley,Mont-Royal,7,7,Friday,1,32,24.3,0.5
Louis-Hémon / Rosemont,Rosemont - La Petite-Patrie,5,26,Friday,6,79,13.9,0
Métro Jolicoeur (de Sève / Drake),Le Sud-Ouest,5,29,Monday,6,49,18,0
de Gaspé / Beaubien,Rosemont - La Petite-Patrie,7,24,Monday,9,113,24,0
Valois / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,7,28,Friday,15,102,23.9,23.4
8e avenue / Notre-Dame Lachine,Lachine,7,21,Friday,1,6,21.9,26
de Bellechasse / de St-Vallier,Rosemont - La Petite-Patrie,8,5,Saturday,5,114,20,0
Brittany / Ainsley,Mont-Royal,8,29,Tuesday,3,22,21.5,0
Parc LaSalle (10e avenue / Victoria),Lachine,6,29,Thursday,1,9,20.3,4.7
de Chambly / Rachel,Rosemont - La Petite-Patrie,9,22,Friday,11,60,16.1,0.5
Bourbonnière / du Mont-Royal,Rosemont - La Petite-Patrie,7,13,Thursday,11,44,23,36.1
Chabot / de Bellechasse,Rosemont - La Petite-Patrie,7,1,Saturday,7,70,22.6,27.2
Boyer / Rosemont,Rosemont - La Petite-Patrie,5,8,Monday,26,145,12.4,0.4
de Bellechasse / de St-Vallier,Rosemont - La Petite-Patrie,7,21,Friday,3,82,21.9,26
André-Laurendeau / Rachel,Rosemont - La Petite-Patrie,7,5,Wednesday,30,202,25.6,0.2
Boyer / Beaubien,Rosemont - La Petite-Patrie,5,2,Tuesday,14,103,9.9,3.8
Métro Langelier (Langelier / Sherbrooke),Mercier - Hochelaga-Maisonneuve,8,28,Monday,4,33,18.9,0
Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,7,6,Thursday,22,71,27.7,0
Métro Assomption (Chauveau / de l'Assomption),Mercier - Hochelaga-Maisonneuve,7,24,Monday,5,39,24,0
de St-Vallier / St-Zotique,Rosemont - La Petite-Patrie,7,14,Friday,8,88,21.3,0
Hamilton / Jolicoeur,Le Sud-Ouest,7,17,Monday,13,55,25.2,0
8e avenue / Notre-Dame Lachine,Lachine,6,27,Tuesday,2,6,23.3,7.2
Laird / Glencoe,Mont-Royal,9,10,Sunday,0,17,17,11.2
Cartier / Bélanger,Rosemont - La Petite-Patrie,9,14,Thursday,13,60,13.9,0
Laird / Glencoe,Mont-Royal,5,13,Saturday,1,13,13.5,0
Souligny / Desmarteau,Mercier - Hochelaga-Maisonneuve,5,15,Monday,1,10,15.6,0
Métro Monk (Allard / Beaulieu),Le Sud-Ouest,10,22,Sunday,0,15,7.4,8.4
Dubois / Eadie,Le Sud-Ouest,7,26,Wednesday,14,45,24.9,0
Ontario / Sicard,Mercier - Hochelaga-Maisonneuve,6,16,Friday,9,39,19.8,0
Parc du Pélican (2e avenue / St-Joseph),Rosemont - La Petite-Patrie,9,17,Sunday,6,62,17.9,0
Boyer / Bélanger,Rosemont - La Petite-Patrie,5,7,Sunday,4,121,16.5,0
35e avenue / Beaubien,Rosemont - La Petite-Patrie,8,25,Friday,5,30,18.3,1.1
Chabot / de Bellechasse,Rosemont - La Petite-Patrie,9,15,Friday,18,89,14.9,0
Peel / Ottawa,Le Sud-Ouest,5,22,Monday,20,276,10.8,0
Louis-Hémon / Rosemont,Rosemont - La Petite-Patrie,10,14,Saturday,11,80,10.6,0
10e avenue / Masson,Rosemont - La Petite-Patrie,9,15,Friday,29,192,14.9,0
Shearer / Centre,Le Sud-Ouest,7,6,Thursday,14,83,27.7,0
Hamilton / Jolicoeur,Le Sud-Ouest,8,6,Sunday,8,60,21.5,0
Rose-de-Lima / Workman,Le Sud-Ouest,6,10,Saturday,7,79,17.6,0
Dubois / Eadie,Le Sud-Ouest,5,7,Sunday,5,38,16.5,0
Laird / Glencoe,Mont-Royal,5,19,Friday,2,30,15.2,0
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,5,25,Thursday,22,67,11.7,0
de Léry / Sherbrooke,Mercier - Hochelaga-Maisonneuve,7,24,Monday,5,66,24,0
Métro Langelier (Langelier / Sherbrooke),Mercier - Hochelaga-Maisonneuve,6,26,Monday,1,29,24.7,0
Letourneux / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,7,28,Friday,11,63,23.9,23.4
St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,8,28,Monday,19,178,18.9,0
29e avenue / St-Zotique,Rosemont - La Petite-Patrie,7,19,Wednesday,11,43,21.8,0
Drolet / Beaubien,Rosemont - La Petite-Patrie,9,16,Saturday,5,165,17.6,0
29e avenue / St-Zotique,Rosemont - La Petite-Patrie,6,21,Wednesday,13,52,20.8,0.2
Jeanne-d'Arc / Ontario,Mercier - Hochelaga-Maisonneuve,7,3,Monday,11,171,24.1,0
1ère avenue / Rosemont,Rosemont - La Petite-Patrie,10,27,Friday,13,71,17.2,0.3
Fabre / St-Zotique,Rosemont - La Petite-Patrie,10,29,Sunday,4,48,4.7,1
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,5,26,Friday,14,44,13.9,0
29e avenue / St-Zotique,Rosemont - La Petite-Patrie,6,24,Saturday,5,31,22.8,22.5
Ste-Catherine / Dezery,Mercier - Hochelaga-Maisonneuve,10,4,Wednesday,9,90,23.7,0
5e avenue / Masson,Rosemont - La Petite-Patrie,8,24,Thursday,31,155,20.8,4.1
Cartier / Dandurand,Rosemont - La Petite-Patrie,6,18,Sunday,6,66,16.5,0
Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,8,20,Sunday,9,182,20.9,0
Rose-de-Lima / Workman,Le Sud-Ouest,5,29,Monday,6,58,18,0
Rose-de-Lima / Workman,Le Sud-Ouest,5,17,Wednesday,7,30,5.2,0
41e avenue / Victoria,Lachine,6,5,Monday,0,3,16.4,0
Lionel-Groulx / George-Vanier,Le Sud-Ouest,8,30,Wednesday,7,26,17.8,30.3
Métro Jolicoeur (de Sève / Drake),Le Sud-Ouest,7,23,Sunday,1,47,22.3,0
St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,9,7,Thursday,28,130,26.1,0
de Chambly / Rachel,Rosemont - La Petite-Patrie,6,18,Sunday,4,37,16.5,0
Cartier / Rosemont,Rosemont - La Petite-Patrie,5,5,Friday,7,50,11.8,0
St-Ambroise / Louis-Cyr,Le Sud-Ouest,6,3,Saturday,7,56,15.9,0
des Ormeaux / de Grosbois,Mercier - Hochelaga-Maisonneuve,7,23,Sunday,0,6,22.3,0
Boyer / St-Zotique,Rosemont - La Petite-Patrie,5,6,Saturday,5,118,15.6,0
Dixie / 54e avenue,Lachine,10,18,Wednesday,1,1,12.1,0
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,9,28,Thursday,19,93,15.1,0
Boyer / Beaubien,Rosemont - La Petite-Patrie,5,17,Wednesday,19,107,5.2,0
Cartier / Dandurand,Rosemont - La Petite-Patrie,7,13,Thursday,15,66,23,36.1
Bourbonnière / du Mont-Royal,Rosemont - La Petite-Patrie,10,31,Tuesday,7,34,1.6,1.5
Canning / Notre-Dame,Le Sud-Ouest,8,25,Friday,7,39,18.3,1.1
Monsabré / Boileau,Mercier - Hochelaga-Maisonneuve,9,17,Sunday,3,27,17.9,0
Ste-Catherine / Dezery,Mercier - Hochelaga-Maisonneuve,8,27,Sunday,7,83,18.5,0.2
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,10,2,Monday,17,72,16.3,0.6
Henri-Julien / de Bellechasse,Rosemont - La Petite-Patrie,9,3,Sunday,8,57,23.4,0
Louis-Hébert / de Bellechasse,Rosemont - La Petite-Patrie,9,6,Wednesday,19,69,26.9,0
Métro Cadillac (Cadillac / Sherbrooke),Mercier - Hochelaga-Maisonneuve,10,28,Saturday,0,28,12.1,0.3
de St-Vallier / St-Zotique,Rosemont - La Petite-Patrie,6,20,Tuesday,3,76,18.8,0
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,8,26,Saturday,3,25,19.7,0.8
Cartier / Dandurand,Rosemont - La Petite-Patrie,9,3,Sunday,7,60,23.4,0
St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,10,31,Tuesday,30,130,1.6,1.5
41e avenue / Victoria,Lachine,5,26,Friday,0,3,13.9,0
IUSMM (Georges-Villeneuve),Mercier - Hochelaga-Maisonneuve,10,17,Tuesday,3,13,10.8,0.8
Turgeon / Notre-Dame,Le Sud-Ouest,5,11,Thursday,7,88,17.9,0
Peel / Ottawa,Le Sud-Ouest,8,23,Wednesday,36,241,18.7,0.5
Gare Lachine (Sir George Simpson / 48e avenue),Lachine,7,30,Sunday,0,1,17.8,6.6
Parc Grovehill (St-Antoine / Ivan-Franko),Lachine,8,8,Tuesday,0,2,22,6.6
27e avenue / Rosemont,Rosemont - La Petite-Patrie,8,19,Saturday,2,23,17.3,6.7
de Chambly / Rachel,Rosemont - La Petite-Patrie,10,5,Thursday,10,81,23.1,0
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,8,22,Tuesday,16,71,18.7,0
Duvernay / Charlevoix,Le Sud-Ouest,10,18,Wednesday,11,62,12.1,0
Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,5,8,Monday,14,54,12.4,0.4
Darling / Sherbrooke,Rosemont - La Petite-Patrie,10,8,Sunday,1,22,11.4,5.1
Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,6,9,Friday,9,84,15.3,0
Chabot / de Bellechasse,Rosemont - La Petite-Patrie,7,19,Wednesday,15,69,21.8,0
Molson / Beaubien,Rosemont - La Petite-Patrie,6,14,Wednesday,17,85,18.2,0
Augustin-Cantin / Shearer,Le Sud-Ouest,8,28,Monday,14,67,18.9,0
Fortune / Wellington,Le Sud-Ouest,5,5,Friday,8,45,11.8,0
Graham / Wicksteed,Mont-Royal,9,7,Thursday,6,40,26.1,0
Rose-de-Lima / Workman,Le Sud-Ouest,9,17,Sunday,2,64,17.9,0
Bélanger / St-Denis,Rosemont - La Petite-Patrie,9,18,Monday,20,110,17,0.5
St-Joseph / 8e avenue Lachine,Lachine,6,20,Tuesday,2,34,18.8,0
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,7,30,Sunday,5,47,17.8,6.6
Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,8,16,Wednesday,19,87,21.9,0.4
Lionel-Groulx / George-Vanier,Le Sud-Ouest,10,4,Wednesday,10,29,23.7,0
8e avenue / Dandurand,Rosemont - La Petite-Patrie,7,18,Tuesday,10,50,22.8,10.2
Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,8,5,Saturday,7,76,20,0
Métro Jolicoeur (de Sève / Drake),Le Sud-Ouest,10,1,Sunday,0,47,18.8,0
Parc Summerlea (53e avenue / St-Joseph),Lachine,5,20,Saturday,0,12,18.4,3.2
Hamilton / Jolicoeur,Le Sud-Ouest,7,9,Sunday,3,45,24,3.8
Parc Stoney-Point (St-Joseph / 47e avenue),Lachine,9,6,Wednesday,0,5,26.9,0
Cartier / Bélanger,Rosemont - La Petite-Patrie,8,7,Monday,8,37,20.5,2.8
de Lanaudière / Bélanger,Rosemont - La Petite-Patrie,6,4,Sunday,10,82,14.1,0
Parc Lalancette (de Rouen / Valois),Mercier - Hochelaga-Maisonneuve,5,27,Saturday,8,140,19.5,0
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,8,27,Sunday,7,124,18.5,0.2
Parc du Pélican (2e avenue / St-Joseph),Rosemont - La Petite-Patrie,7,12,Wednesday,11,64,21.9,0
8e avenue / Dandurand,Rosemont - La Petite-Patrie,5,30,Tuesday,9,43,19.3,0
Parc du Pélican (2e avenue / St-Joseph),Rosemont - La Petite-Patrie,8,22,Tuesday,20,55,18.7,0
41e avenue / Rosemont,Rosemont - La Petite-Patrie,7,23,Sunday,1,25,22.3,0
Parc St-Louis (St-Joseph / 34e avenue),Lachine,8,7,Monday,1,7,20.5,2.8
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,6,1,Thursday,25,112,26.3,0
Boyer / St-Zotique,Rosemont - La Petite-Patrie,5,18,Thursday,18,124,7.6,0
Duchesneau / de Marseille,Mercier - Hochelaga-Maisonneuve,10,8,Sunday,0,5,11.4,5.1
Letourneux / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,8,21,Monday,16,66,18.3,0
Peel / Ottawa,Le Sud-Ouest,10,1,Sunday,16,264,18.8,0
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,8,7,Monday,19,110,20.5,2.8
Cartier / Rosemont,Rosemont - La Petite-Patrie,10,27,Friday,13,52,17.2,0.3
Parc du Pélican (2e avenue / St-Joseph),Rosemont - La Petite-Patrie,6,18,Sunday,8,44,16.5,0
Métro Monk (Allard / Beaulieu),Le Sud-Ouest,7,22,Saturday,0,58,21.2,0
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,8,12,Saturday,4,44,19.9,20.3
Métro Cadillac (Cadillac / Sherbrooke),Mercier - Hochelaga-Maisonneuve,7,28,Friday,6,29,23.9,23.4
Valois / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,5,30,Tuesday,19,79,19.3,0
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,5,17,Wednesday,0,21,5.2,0
35e avenue / Beaubien,Rosemont - La Petite-Patrie,8,16,Wednesday,6,34,21.9,0.4
St-Charles / Thomas-Keefer,Le Sud-Ouest,8,20,Sunday,4,323,20.9,0
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,9,10,Sunday,0,22,17,11.2
Centre ÉPIC (St-Zotique / 40e avenue),Rosemont - La Petite-Patrie,8,22,Tuesday,15,53,18.7,0
St-Antoine / 19e avenue,Lachine,10,28,Saturday,0,2,12.1,0.3
Métro Langelier (Langelier / Sherbrooke),Mercier - Hochelaga-Maisonneuve,5,9,Tuesday,5,22,10.2,0
Drolet / St-Zotique,Rosemont - La Petite-Patrie,10,24,Tuesday,17,55,8,4.6
Turgeon / Notre-Dame,Le Sud-Ouest,9,20,Wednesday,6,78,15.7,0
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,10,19,Thursday,4,50,13.8,0.4
de Bordeaux / St-Zotique,Rosemont - La Petite-Patrie,10,12,Thursday,17,45,10.7,0
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,9,14,Thursday,14,58,13.9,0
10e avenue / Masson,Rosemont - La Petite-Patrie,8,19,Saturday,10,124,17.3,6.7
de Chambly / Rachel,Rosemont - La Petite-Patrie,8,3,Thursday,5,62,20.8,7.2
Letourneux / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,8,4,Friday,12,63,21.4,3.1
Mozart / Waverly,Rosemont - La Petite-Patrie,6,30,Friday,4,49,22.8,0
19e avenue / St-Zotique,Rosemont - La Petite-Patrie,8,30,Wednesday,3,39,17.8,30.3
Dubois / Eadie,Le Sud-Ouest,5,13,Saturday,5,47,13.5,0
Henri-Julien / de Bellechasse,Rosemont - La Petite-Patrie,7,24,Monday,5,49,24,0
Chabot / Beaubien,Rosemont - La Petite-Patrie,8,10,Thursday,10,67,21.3,15.2
St-Joseph / 8e avenue Lachine,Lachine,6,2,Friday,2,22,22.7,0
5e avenue / Rosemont,Rosemont - La Petite-Patrie,10,22,Sunday,1,11,7.4,8.4
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,9,30,Saturday,9,203,17.3,0.5
St-Antoine / 19e avenue,Lachine,10,14,Saturday,0,3,10.6,0
IUSMM (Georges-Villeneuve),Mercier - Hochelaga-Maisonneuve,5,11,Thursday,0,10,17.9,0
Louis-Hébert / de Bellechasse,Rosemont - La Petite-Patrie,9,30,Saturday,8,97,17.3,0.5
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,8,9,Wednesday,3,21,22.1,0
Fabre / St-Zotique,Rosemont - La Petite-Patrie,9,28,Thursday,19,75,15.1,0
Pierre-de-Coubertin / Langelier,Mercier - Hochelaga-Maisonneuve,8,1,Tuesday,0,19,15.6,0
Graham / Kindersley,Mont-Royal,7,27,Thursday,1,28,22.3,27.6
Ste-Catherine / Dezery,Mercier - Hochelaga-Maisonneuve,7,13,Thursday,11,58,23,36.1
Parc Honoré-Mercier (Notre-Dame / Liébert),Mercier - Hochelaga-Maisonneuve,10,10,Tuesday,4,8,10.7,0.2
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,5,12,Friday,21,90,20.3,0
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,8,11,Friday,2,39,19.8,0
Parc Honoré-Mercier (Notre-Dame / Liébert),Mercier - Hochelaga-Maisonneuve,6,17,Saturday,0,12,15.3,5.3
de Léry / Sherbrooke,Mercier - Hochelaga-Maisonneuve,9,8,Friday,4,69,22.3,0
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,6,28,Wednesday,17,109,19.9,8.1
Valois / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,9,13,Wednesday,9,62,19.7,8.5
8e avenue / Notre-Dame Lachine,Lachine,8,8,Tuesday,1,6,22,6.6
Parc Félix-Leclerc (François-Boivin / St-Zotique),Mercier - Hochelaga-Maisonneuve,7,19,Wednesday,3,20,21.8,0
Augustin-Cantin / Shearer,Le Sud-Ouest,7,9,Sunday,6,60,24,3.8
Fabre / St-Zotique,Rosemont - La Petite-Patrie,9,18,Monday,7,63,17,0.5
Boyer / Bélanger,Rosemont - La Petite-Patrie,8,13,Sunday,5,73,21.8,0
3e avenue / Holt,Rosemont - La Petite-Patrie,10,17,Tuesday,19,45,10.8,0.8
Victoria / 18e avenue Lachine,Lachine,7,24,Monday,1,12,24,0
Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,9,14,Thursday,27,73,13.9,0
5e avenue / Rosemont,Rosemont - La Petite-Patrie,6,9,Friday,15,40,15.3,0
de Gaspé / Dante,Rosemont - La Petite-Patrie,6,28,Wednesday,9,33,19.9,8.1
3e avenue / Holt,Rosemont - La Petite-Patrie,10,2,Monday,8,41,16.3,0.6
d'Orléans / Masson,Rosemont - La Petite-Patrie,8,12,Saturday,6,67,19.9,20.3
Molson / Beaubien,Rosemont - La Petite-Patrie,6,25,Sunday,7,70,22.2,0
Cartier / Bélanger,Rosemont - La Petite-Patrie,7,30,Sunday,7,59,17.8,6.6
Hamilton / Jolicoeur,Le Sud-Ouest,10,6,Friday,11,46,20.3,31.3
Parc St-Louis (St-Joseph / 34e avenue),Lachine,10,31,Tuesday,1,3,1.6,1.5
de Bellechasse / de St-Vallier,Rosemont - La Petite-Patrie,9,12,Tuesday,18,88,18.3,0
Graham / Brookfield,Mont-Royal,8,13,Sunday,2,33,21.8,0
Graham / Wicksteed,Mont-Royal,7,21,Friday,3,34,21.9,26
Boyer / St-Zotique,Rosemont - La Petite-Patrie,5,2,Tuesday,14,84,9.9,3.8
Fortune / Wellington,Le Sud-Ouest,6,22,Thursday,25,76,22.9,0.3
Parc du Pélican (2e avenue / St-Joseph),Rosemont - La Petite-Patrie,8,5,Saturday,9,48,20,0
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,7,26,Wednesday,57,278,24.9,0
St-Ambroise / Louis-Cyr,Le Sud-Ouest,6,27,Tuesday,12,71,23.3,7.2
d'Orléans / Masson,Rosemont - La Petite-Patrie,8,9,Wednesday,17,91,22.1,0
Monsabré / Boileau,Mercier - Hochelaga-Maisonneuve,10,28,Saturday,7,21,12.1,0.3
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,6,3,Saturday,7,136,15.9,0
St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,6,10,Saturday,13,189,17.6,0
Ann / Wellington,Le Sud-Ouest,10,15,Sunday,3,36,9.5,0
Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,9,4,Monday,0,37,24.6,0
Lionel-Groulx / George-Vanier,Le Sud-Ouest,8,15,Tuesday,14,41,21.2,0.5
5e avenue / Masson,Rosemont - La Petite-Patrie,5,7,Sunday,5,135,16.5,0
Augustin-Cantin / Shearer,Le Sud-Ouest,6,18,Sunday,5,32,16.5,0
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,7,27,Thursday,2,18,22.3,27.6
St-Germain / Hochelaga,Mercier - Hochelaga-Maisonneuve,9,1,Friday,11,47,18.1,0
des Érables / Bélanger,Rosemont - La Petite-Patrie,5,30,Tuesday,4,17,19.3,0
Parc Lalancette (de Rouen / Valois),Mercier - Hochelaga-Maisonneuve,6,26,Monday,7,78,24.7,0
